country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Hawaii,Hawaii Island; Kilauea,Central Passage,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=786,,
United States of America,California; Siskiyou County,,Ceratinly-A-Cave,,,,,,55,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=473,,
United States of America,New Mexico; Cibola County,,Cerro Encierro,,,,,,500,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1192,,
United States of America,California; San Bernardino,,CF,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=311,,
United States of America,California; San Bernardino,Pisgah,CG,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=312,,
United States of America,California; San Bernardino,Pisgah,CH,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=313,,
United States of America,Hawaii,Hawaii Island,Chain of Craters Road Caves,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=804,,
United States of America,Idaho; Blaine County,,Chalk Cave,,,,,,792,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1014,,
United States of America,New Mexico; Cibola County,,Chantry (West) Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1200,,
United States of America,New Mexico; Cibola County,,Chantry Cave,,,,,,614,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1201,,
United States of America,Oregon,,Charcoal Cave #1,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1286,,
United States of America,Oregon,,Charcoal Cave #2,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1283,,
United States of America,Oregon; Deschutes County,,Charlie-the-Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1232,,
United States of America,Siskiyou County; California,,Check Out Cave,,,,,,104,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=642,,
