cave-name-ascii,min-altitude,max-altitude,length-nr,vertical-extent-nr,number-of-entrances-nr,record-id
Booming Ice Chasm,2189,2189,961,,,CA-2b37cadafcda9fcc0b489ca2f542074c
Glittering Ice Palace,2226,2226,286,,,CA-95df53c356b3a2acc5ab4c713e7b254f
Coultard Cave,2440,2440,370,,,CA-54e25d4b0937e08f2da46a93f681a4db
Ice Chest,2250,2250,381,,,CA-4b3428fada048fa888741b11348e8dc2
Serendipity Cave,2165,2165,473,,,CA-dc7d544eda6058f9a59982e485878d63
Flop Pot,2165,2165,200,,,CA-f975fb8b0e096783fcf836c87e9efeeb
Ice Hall,2180,2180,130,,,CA-68fd9030b28d72cc1d1c99e5a91a1e1d
Rats Hole,2455,2455,130,,,CA-39de05c4ae383c13c133bac5d0e1616e
,1200,1200,1867,,,CA-0d08a5e72a515b358655ecd0ad6cd3fd
Projects Cave,1050,1050,130,,,CA-8efdd6f5c801962fa1845759065c2eec
Castleguard Cave,2016,2016,21068,387,,CA-e3f914ff17f96f58de0d411ed3fc95dd
Disaster Point Ice Cave,1082,1082,673,,2,CA-437cedd66adb093bdf7a2ff20baf9861
Ice Trap,2400,2400,3002,,,CA-f313f2b3e7d347e60b341a8c1c489eb7
Mount Alberta Cave,3350,3350,150,,,CA-61eb1d12c486624258a4aeb86042960a
Icy Hope,1499,1499,200,,,CA-bdc992815b6397d93f2faee8c58e6366
Inverted Fridge,1940,1940,281,,,CA-e4754c6c58abc3d84b44914d9d5e4a66
Global Cooling,1940,1940,133,,,CA-7959f67bebf7e51d72c402da3a60a9b8
Supermans Glittering Ice Palace (SGIP),2250,2250,21,,,CA-c33b8d2f9e850daea3aae9c3bef2da55
Nakimu Cave,1576,1576,6000,,,CA-383229b124ce49892d2c96fada86c410
Walkin-Ice Cave,252,252,1624,,,CA-c62293d6320ddbc3b7f343e130d811e6
Wedge Cave,2200,2200,60,,,CA-bbbb6a8346e90f9cd9c28b49232d1e07
Frenchman's Cave,,,50,,,CA-41756fb4ff4bf5896d7867bfb21f6c76
Woodville Ice Cave,,,50,,,CA-96c56886e85d227bd8e16198d09dcb70
Minasville Ice Cave,,,,,,CA-7d431eab499665145c16f812c04a18d2
Crater Ice Cave,,,,,2,US-e5adad7e773ba261bf30f78657233988
Little Ice Cave,,,,,,US-9c79920aa69179302b2f199c404aa5bc
Red Pryor Ice Cave,,,,,,US-04d44dbdba122281b1bf5c0de4b25dbd
Fossil Mountain Ice Cave,2904,2904,,,,US-7eb158420190fa35105fe4b4f6a5c3e5
Strickler Cavern,,,,,,US-8b83b776893742c5e3bebdacb4deb460
Snow Cone,,,,,,US-9c34793586092e16b66cfb8a7655fb35
Crystal Falls Ice Cave,,,,,,US-a1f6c4466a0b944fd5d193c95f7c9091
Bear Ice Cave,,,,,,US-f9244e4b84013595587462be918605da
Grandview Ice Cave,,,,,,US-3d77578a218469475de04098e1515a0c
Winter Wonderland Cave,3140,3140,245,33,,US-5a4ab07e8f54dad78b9bee399d427ee9
Jim Peck Ice Cave,,,,96,,US-3d7d788e043d9caf8a6a55297b204f1e
Big Brush Creek Cave,,,,,,US-e328d340ccc22180c747d11cb3f14d41
Main Drain Cave,,,,,,US-b041a8d83e49233ade9a5b615a9b4b1a
Duck Creek Ice Cave,,,24,,,US-b765689f966ca9c45d18e31c1a44e8bb
Candelaria Ice Cave,2393,2393,,,,US-5ea7e414ce897fe0f7cd21f7699f3b40
C-270,1396,1396,627,23,7,US-2442e470eccb672cff874938eb538455
Heppe Ice Cave,1609,1609,52,29,2,US-d811cf4627e617d9e16e03199aa3d1ef
Heppe Chimney,,,,,,US-491d775d9eafafa367521cf6c9738608
