country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Oregon; Wasco County,,Dalles Cave,,,,,,,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1277,,
United States of America,California; Siskiyou County,,Dance Hall Cave,,,,,,351,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=479,,
United States of America,Hawaii,Maui,Dangerous Dan's Drop-off,,,,,,11,,,,,lava tunnel,perennially submerged,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=829,,
Australia,Queensland,Undara,Darcy Cave,,ASF-4U-31,,,,99,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1418; Atkinson et al. (1975) https://doi.org/10.1007/BF02597832,,
United Kingdom,St. Helena,Ascension Island,Dark Slope Lava Tube,,,,,,20,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1548,,
United States of America,Washington; Skamania County,Mt. Adams,Datus Perry's Cave,,,,,,583,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1731,,
United States of America,Washington; Skamania County,Mt. Adams,Datus Perry's New Cave,,,,,,416,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1732,,
Australia,Queensland,Undara,Dave's (North) Cave,Dave I,ASF-4U-26,,,,50,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1373,,
Australia,Queensland,Undara,Dave's (South) Cave,Dave II,ASF-4U-27,,,,70,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1374,,length updated based on ASF database
United States of America,Oregon; Deschutes County,Horse Lava Tube System,Davenport Cave,,,,,,46,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1324,,
United States of America,Washington; Klickitat County,Mt. Adams,Dead Bear Cave,,,,,,1063,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1613,,
United States of America,Idaho; Gooding County,,Dead Hog Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1050,,
United States of America,Idaho; Gooding County,,Dead Horse Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1059,,
United States of America,Idaho; Gooding County,,Dead Horse Extension,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1060,,
Kenya,Eastern Province; Machakos District,Chyulu Hills,Dead Man's Cave,,,,,,,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=690,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Giant Crater,Dead Tire Cave,,,,,,92,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=545,,
United States of America,Washington; Skamania County,Deadhorse,Deadhorse Cave,,,,,,4402,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1636,,
United States of America,Hawaii,Hawaii (Big Island); Mauna Kea,Debbie Anderson's Cave,,,,,,14,,,,basalt,lava tunnel,,Kalopa State Park Stream Conduit Caves,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=901,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Double Hole Crater,Deep Ice Cave,Bailey's Bailiwick,,,,,45,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=480,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Giant Crater,Deep Trench,,,,,,159,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=624,,
United States of America,Washington; Skamania County,,Deer Cave,,,,,,91,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1637,,
United States of America,New Mexico; Cibola County,El Malpais,Deer Mountain,,,,,,6850,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1191,,
United States of America,Oregon; Deschutes County,Arnold Lava Tube System,Deg Cave,,,,,,187,,,,basalt,lava tunnel,,,,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=1290; Greeley (1971) ""Geology of Selected Lava Tubes in the Bend Area, Oregon""",,
France,Reunion,Reunion Island,Delcy Hole,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1432,,
United States of America,Oregon; Deschutes County,,Dendrite Cave,,,,,,69,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1234,,
United States of America,Oregon; Lake County,,Derrick Cave,,,,,,~370,16,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1250; https://en.wikipedia.org/wiki/Derrick_Cave,,
United States of America,California; Siskiyou County,Shasta,Devil's Kitchen Cave,,,,,,,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=617,,
United States of America,Idaho; Butte County,Craters of the Moon National Monument,Dewdrop Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1023,,
United States of America,Idaho; Lincoln County,Black Butte,Diamond Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1077,,
Australia,Queensland,Undara,Ding Bat,,ASF-U50,,,,60,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1375; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
United States of America,Idaho; Elmore County,,Dinosaur Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1041,,
Iceland,,Eldhraun,Dirfskuhellir,Plucky Cave,,,,,170,,,https://rpif.asu.edu/LTdatabase/images/Eldhraun_Caves.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=197,,
United States of America,Washington; Skamania County,,Dirty Cave,,,,,,91,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1638,,
United States of America,Oregon; Deschutes County,Horse Lava Tube System,Distillery Cave,,,,,,221,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1270; https://rpif.asu.edu/LTdatabase/result.php?RECNO=1343,,
United States of America,Washington; Klickitat County,Mt. Adams,Ditch Cave,,,,,,100,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1614,,
United States of America,Hawaii,Hawaii Island; Kilauea,Doc Bellou Cave,,,,,,310,,,,,lava tunnel,,,Kazumura Cave,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=758; Hoch and Howarth (1993) http://hdl.handle.net/10125/1860; Wood (1981) Trans. Brit. Cave Res. Assoc. 8(3), 111-129",,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Lava Beds National Monument,Doc Yoc Cave,,,,,,20,,,http://npshistory.com/publications/geology/bul/1673/images/fig14.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=566; Waters et al. (1990) https://doi.org/10.3133/b1673,,
